Product Name,Product Price,Product Colors
Long Skirt,$19.99,"Cream, Black"
Cap-sleeved Jersey Dress,$9.99,"White, Black/floral, Black"
Linen-blend Midi Dress,$37.99,"Cream/floral, White/blue floral"
Linen-blend Shirt,$19.99,"White/blue striped, White, Light beige, Blue, Black, Light beige, White"
Rib-knit Off-the-shoulder Dress,$34.99,"Black/striped, Cream, Black"
Linen-blend Maxi Skirt,$44.99,Black/floral
Linen Pants,$34.99,"White, Black"
Wide Ultra High Jeans,$29.99,"Light denim blue, Denim blue, Gray, Light denim blue, Light taupe, White"
Suit Vest,$25.99,"Light beige, Black"
Wide High Jeans,$29.99,"Light denim blue, White, Denim blue, Light denim blue, Denim blue, Dark gray"
2-pack Crop T-shirts,$9.99,"Black/white, Light gray melange/dusty pink, Khaki green/light gray, Light taupe/black"
Ribbed Tank Top,$9.99,"Black, White, Sage green, White, Bright blue, Black"
Ankle-length Pants,$29.99,"Black, Taupe, Light taupe"
Satin Maxi Skirt,$37.99,"Light beige, Black"
Linen Shirt,$29.99,"White, Black, Beige/striped, Light beige, Pale yellow"
Slim Straight High Jeans,$24.99,"Light denim blue, Pale denim blue, Denim blue, Black, Gray, Beige"
Linen Shirt,$34.99,Blue/white striped
Jersey Top,$17.99,"Black, White, Taupe, Dark gray"
High Waist Joggers,$24.99,"Black, Light taupe, Light gray melange, Dusty pink melange, Dark gray, Light purple, Dusty green"
Wide-leg Twill Pants,$19.99,"Black, White, Light blue, Beige"
Tapered Linen-blend Pants,$34.99,"Light beige, Black, Navy blue, Light green, Bright blue"
Hoodie,$14.99,"Black, Light gray melange, Light beige"
Oversized Crinkled Dress,$54.99,White/blue floral
Sweatshirt Dress,$19.99,Black
Oversized Sweatshirt,$24.99,"Black, Light taupe, Light purple, Light gray melange"
Knit Cardigan,$64.99,"Cream/blue striped, Black/striped"
Jacquard-knit Sweater,$18.99,"Cream/striped, Gray melange/striped"
Oversized Blazer,$49.99,Cream
Sweater,$18.99,"Light beige/striped, Black/striped, Black/striped, Black"
Long-sleeved Top with Flatlock Seams,$12.99,"Dark gray, Cream"
Square-neck Twill Dress,$29.99,Black
Puff-sleeved Midi Dress,$27.99,"Light blue/floral, Cream/floral, Black"
